DateOfBite,Borough
January 13 2016,Bronx
January 19 2016,Bronx
January 24 2016,Bronx
January 25 2016,Bronx
January 05 2016,Bronx
January 14 2016,Bronx
January 27 2016,Bronx
January 28 2016,Bronx
January 13 2016,Bronx
January 31 2016,Bronx
January 30 2016,Bronx
January 29 2016,Bronx
January 30 2016,Bronx
February 02 2016,Bronx
January 31 2016,Bronx
February 03 2016,Bronx
February 02 2016,Bronx
February 09 2016,Bronx
January 30 2016,Bronx
February 04 2016,Bronx
February 16 2016,Bronx
February 14 2016,Bronx
February 16 2016,Bronx
February 16 2016,Bronx
February 18 2016,Bronx
February 19 2016,Bronx
January 16 2016,Bronx
February 20 2016,Bronx
February 17 2016,Bronx
March 04 2016,Bronx
March 06 2016,Bronx
March 01 2016,Bronx
March 07 2016,Bronx
March 04 2016,Bronx
February 29 2016,Bronx
March 16 2016,Bronx
March 18 2016,Bronx
March 10 2016,Bronx
March 18 2016,Bronx
March 22 2016,Bronx
March 24 2016,Bronx
March 23 2016,Bronx
March 26 2016,Bronx
March 29 2016,Bronx
March 23 2016,Bronx
March 26 2016,Bronx
March 26 2016,Bronx
March 21 2016,Bronx
April 02 2016,Bronx
April 02 2016,Bronx
April 02 2016,Bronx
April 03 2016,Bronx
April 09 2016,Bronx
April 02 2016,Bronx
March 03 2016,Bronx
April 12 2016,Bronx
April 16 2016,Bronx
April 16 2016,Bronx
April 15 2016,Bronx
April 20 2016,Bronx
April 20 2016,Bronx
April 08 2016,Bronx
April 23 2016,Bronx
April 24 2016,Bronx
April 24 2016,Bronx
April 27 2016,Bronx
April 28 2016,Bronx
April 20 2016,Bronx
May 01 2016,Bronx
April 29 2016,Bronx
April 30 2016,Bronx
May 01 2016,Bronx
April 28 2016,Bronx
April 26 2016,Bronx
May 02 2016,Bronx
April 27 2016,Bronx
May 05 2016,Bronx
May 04 2016,Bronx
May 07 2016,Bronx
May 09 2016,Bronx
May 08 2016,Bronx
April 30 2016,Bronx
April 30 2016,Bronx
May 12 2016,Bronx
May 12 2016,Bronx
May 08 2016,Bronx
May 13 2016,Bronx
May 20 2016,Bronx
May 22 2016,Bronx
May 20 2016,Bronx
May 20 2016,Bronx
May 22 2016,Bronx
May 20 2016,Bronx
May 24 2016,Bronx
May 20 2016,Bronx
May 20 2016,Bronx
May 14 2016,Bronx
May 26 2016,Bronx
May 30 2016,Bronx
May 28 2016,Bronx
May 27 2016,Bronx
June 02 2016,Bronx
June 06 2016,Bronx
June 04 2016,Bronx
May 16 2016,Bronx
May 28 2016,Bronx
June 06 2016,Bronx
June 08 2016,Bronx
June 12 2016,Bronx
June 10 2016,Bronx
June 13 2016,Bronx
June 11 2016,Bronx
June 07 2016,Bronx
June 22 2016,Bronx
June 25 2016,Bronx
May 27 2016,Bronx
June 22 2016,Bronx
June 29 2016,Bronx
July 04 2016,Bronx
July 04 2016,Bronx
July 06 2016,Bronx
July 08 2016,Bronx
July 07 2016,Bronx
July 10 2016,Bronx
July 11 2016,Bronx
July 11 2016,Bronx
July 13 2016,Bronx
July 09 2016,Bronx
July 17 2016,Bronx
July 18 2016,Bronx
July 18 2016,Bronx
July 20 2016,Bronx
July 21 2016,Bronx
July 22 2016,Bronx
July 23 2016,Bronx
July 16 2016,Bronx
July 25 2016,Bronx
July 27 2016,Bronx
July 27 2016,Bronx
July 30 2016,Bronx
July 28 2016,Bronx
August 03 2016,Bronx
August 04 2016,Bronx
August 07 2016,Bronx
August 08 2016,Bronx
August 11 2016,Bronx
August 15 2016,Bronx
July 11 2016,Bronx
August 18 2016,Bronx
August 18 2016,Bronx
August 22 2016,Bronx
August 23 2016,Bronx
August 29 2016,Bronx
August 27 2016,Bronx
August 31 2016,Bronx
August 31 2016,Bronx
September 04 2016,Bronx
September 06 2016,Bronx
September 04 2016,Bronx
September 08 2016,Bronx
September 11 2016,Bronx
September 10 2016,Bronx
September 09 2016,Bronx
September 12 2016,Bronx
September 14 2016,Bronx
September 15 2016,Bronx
September 17 2016,Bronx
September 17 2016,Bronx
September 18 2016,Bronx
September 20 2016,Bronx
September 20 2016,Bronx
September 21 2016,Bronx
September 23 2016,Bronx
September 25 2016,Bronx
September 28 2016,Bronx
September 27 2016,Bronx
September 30 2016,Bronx
September 29 2016,Bronx
October 03 2016,Bronx
September 16 2016,Bronx
October 03 2016,Bronx
October 07 2016,Bronx
October 16 2016,Bronx
October 17 2016,Bronx
September 18 2016,Bronx
October 24 2016,Bronx
October 27 2016,Bronx
October 21 2016,Bronx
October 28 2016,Bronx
November 02 2016,Bronx
November 06 2016,Bronx
November 06 2016,Bronx
November 08 2016,Bronx
November 09 2016,Bronx
November 09 2016,Bronx
November 10 2016,Bronx
November 12 2016,Bronx
November 11 2016,Bronx
November 05 2016,Bronx
November 16 2016,Bronx
November 15 2016,Bronx
November 17 2016,Bronx
November 18 2016,Bronx
October 24 2016,Bronx
November 22 2016,Bronx
November 24 2016,Bronx
November 27 2016,Bronx
November 25 2016,Bronx
November 25 2016,Bronx
November 24 2016,Bronx
November 29 2016,Bronx
November 27 2016,Bronx
December 02 2016,Bronx
December 06 2016,Bronx
December 05 2016,Bronx
December 08 2016,Bronx
December 12 2016,Bronx
December 09 2016,Bronx
December 17 2016,Bronx
December 15 2016,Bronx
December 21 2016,Bronx
December 21 2016,Bronx
December 25 2016,Bronx
December 26 2016,Bronx
December 23 2016,Bronx
December 27 2016,Bronx
December 29 2016,Bronx
December 30 2016,Bronx
December 30 2016,Bronx
January 01 2017,Bronx
December 29 2016,Bronx
January 11 2017,Bronx
January 12 2017,Bronx
December 22 2016,Bronx
January 12 2017,Bronx
January 16 2017,Bronx
January 16 2017,Bronx
January 15 2017,Bronx
January 14 2017,Bronx
January 20 2017,Bronx
January 23 2017,Bronx
January 23 2017,Bronx
January 20 2017,Bronx
January 21 2017,Bronx
January 19 2017,Bronx
January 30 2017,Bronx
February 02 2017,Bronx
February 07 2017,Bronx
February 04 2017,Bronx
February 11 2017,Bronx
